Our Virus Name,Original Virus Name,Notes
A/BILTHOVEN/16190/1968,A/AICHI/2/1968,Fonville homologue for Vinh virus
A/BILTHOVEN/16190/1968,BI/16190/68,
A/BILTHOVEN/21793/1972,BI/21793/72,
A/BILTHOVEN/1761/1976,BI/1761/76,
A/BILTHOVEN/2271/1976,BI/2271/76,
A/NETHERLANDS/233/1982,NL/233/82,
A/NETHERLANDS/620/1989,NL/620/89,
A/BEIJING/32/1992,A/BEIJING/32/92,
A/NETHERLANDS/823/1992,NL/823/92,
A/NETHERLANDS/179/1993,NL/179/93,
A/NETHERLANDS/179/1993,Prototype_WT_A/NETHERLAND/179/93,
A/SHANDONG/9/1993,A/SHANGDONG/9/93,Misspelling (extra G)
A/SHANDONG/9/1993,SD/9/93,
A/VICTORIA/1/1993,A/VICTORIA/1/93,
A/WELLINGTON/25/1993,A/WELLINGTON/25/93,
A/WELLINGTON/96/1993,A/WELLINGTON/96/93,
A/BRISBANE/22/1994,A/BRISBANE/22/94,
A/JOHANNESBURG/33/1994,A/JOHANNESBURG/33/94,
A/JOHANNESBURG/33/1994,JO/33/94,
A/VICTORIA/9/1994,A/VICTORIA/9/94,
A/WELLINGTON/1/1994,A/WELLINGTON/1/94,
A/NANCHANG/933/1995,A/NANCHANG/933/95,
A/NANCHANG/933/1995,NA/933/95,
A/NETHERLANDS/178/1995,Prototype_RG145K_A/NETHERLANDS/178/95,
A/NETHERLANDS/178/1995,PROTOTYPE_RG145K_A/NETHERLANDS/178/95,
A/WUHAN/359/1995,A/WUHAN/359/95,
A/WUHAN/359/1995,WU/359/95,
A/AUCKLAND/5/1996,A/AUCKLAND/5/96,
A/BRISBANE/22/1996,A/BRISBANE/22/96,
A/CANBERRA/1/1996,A/CANBERRA/1/96,
A/CHRISTCHURCH/1/1996,A/CHRISTCHURCH/1/96,
A/WELLINGTON/48/1996,A/WELLINGTON/48/96,
A/BANGKOK/1/1997,A/BANGKOK/1/97,
A/CANBERRA/9/1997,A/CANBERRA/9/97,
A/PERTH/5/1997,A/PERTH/5/97,
A/PERTH/9/1997,A/PERTH/9/97,
A/SYDNEY/5/1997,A/SYDNEY/5/97,
A/TASMANIA/1/1997,A/TASMANIA/1/97,
A/VICTORIA/47/1997,A/VICTORIA/47/97,
A/VICTORIA/507/1998,A/VICTORIA/507/98,
A/CHRISTCHURCH/68/1999,A/CHRISTCHURCH/68/99,
A/NETHERLANDS/301/1999,NL/301/99,
A/NETHERLANDS/301/1999,Prototype_WT_A/NETHERLANDS/301/99,
A/PANAMA/2007/1999,A/PANAMA/2007/99,
A/PANAMA/2007/1999,PM/2007/99,
A/TOWNSVILLE/2/1999,A/TOWNSVILLE/2/99,
A/VICTORIA/577/1999,A/VICTORIA/577/99,
A/SOUTH AUSTRALIA/53/2001,A/SOUTH_AUSTRALIA/53/2001,
A/FUJIAN/411/2002,FU/411/02,
A/PHILIPPINES/472/2002_MDCK,A/PHILIPPINES/427/2002_MDCK,Misnumbering (427 instead of 472)
A/SOUTH AUSTRALIA/84/2002,A/SOUTH_AUSTRALIA/84/2002,
A/NETHERLANDS/213/2003,NL/213/03,
A/NETHERLANDS/213/2003,Prototype_WT_A/NETHERLANDS/213/03,
A/NEW YORK/55/2004,A/NEW_YORK/55/2004,
A/HANOI/EL134/2008,VN015_EL134_2008,
A/HANOI/EL134/2008,VN015/EL134/2008,
A/HANOI/EL135/2008,VN016_EL135_2008,
A/HANOI/EL135/2008,VN016/EL135/2008,
A/HANOI/EL140/2008,VN017_EL140_2008,
A/HANOI/EL140/2008,VN017/EL140/2008,
A/HANOI/EL196/2009,HN196_2009,
A/HANOI/EL196/2009,HN196/2009,
A/HANOI/EL201/2009,A/VICTORIA/210/2009,Fonville homologue for Vinh virus
A/HANOI/EL201/2009,HN201_2009,
A/HANOI/EL201/2009,HN201/2009,
A/HANOI/EL204/2009,VN018_EL204_2009,
A/HANOI/EL204/2009,VN018/EL204/2009,
A/HANOI/EL206/2009,HN206_2009,
A/HANOI/EL206/2009,HN206/2009,
A/HANOI/EL442/2010,VN019_EL442_2010,
A/HANOI/EL442/2010,VN019/EL442/2010,
A/HANOI/EL443/2010,VN020_EL443_2010,
A/HANOI/EL443/2010,VN020/EL443/2010,
A/HANOI/EL444/2010,VN021_EL444_2010,
A/HANOI/EL444/2010,VN021/EL444/2010,
A/HANOI/VN053/2010,VN053_2010,
A/HANOI/VN053/2010,VN053/2010,
